#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.457543,2.801063,0.000000,3.493488,3.434693,0.056649,10.397560
0.000000,0.000000,1.668471,2.527225,0.000000,1.526684,3.166059,0.054040,12.383388
0.000000,0.000000,1.971022,2.367933,0.000000,1.132028,2.758687,0.484700,10.337227
0.000000,0.000000,1.493197,2.595916,0.000000,2.291501,3.678302,0.054431,9.648097
0.000000,0.000000,1.574644,2.384974,0.000000,1.407524,3.148511,0.412651,11.206164
0.000000,0.000000,1.759343,2.652468,0.000000,2.044042,3.435430,0.054173,10.527005
0.000000,0.000000,1.574480,2.407145,0.000000,1.436086,3.172196,0.393796,10.854088
0.000000,0.000000,1.869567,2.352776,0.000000,2.174558,3.249193,0.352986,10.394159
0.000000,0.000000,1.995699,2.592687,0.000000,2.207291,3.925734,0.055817,11.629827
0.000000,0.000000,3.670862,2.252972,0.000000,1.954043,3.512277,0.397976,13.410448
0.000000,0.000000,2.293077,2.363367,0.000000,2.519752,4.605147,0.054205,11.720144
0.000000,0.000000,3.929298,2.753698,0.000000,2.076361,3.848693,0.055429,15.244680
0.000000,0.000000,1.556521,2.409885,0.000000,1.568635,3.321753,0.059115,11.287286
0.000000,0.000000,1.550212,2.316872,0.000000,1.391608,3.572341,0.576790,10.140840
0.000000,0.000000,3.351712,2.540146,0.000000,3.178169,4.124329,0.061901,12.733127
0.000000,0.000000,3.673580,2.392166,0.000000,1.780817,4.042181,0.063987,14.790419
0.000000,0.000000,1.777047,2.380513,0.000000,1.711232,3.461064,0.065263,11.340257
0.000000,0.000000,2.325783,2.342902,0.000000,1.644386,3.839320,0.077843,11.233388
0.000000,0.000000,3.493825,2.512392,0.000000,2.195587,3.583879,0.634719,12.971191
0.000000,0.000000,3.313395,2.608990,0.000000,3.205980,4.695603,0.060611,13.813318
0.000000,0.000000,1.772547,2.786352,0.000000,1.884856,4.277655,0.066317,14.006226
0.000000,0.000000,2.027640,2.516495,0.000000,1.720015,3.625068,0.844776,12.130832
0.000000,0.000000,2.183009,2.517255,0.000000,1.487552,3.720974,0.071617,12.302050
0.000000,0.000000,1.616239,2.655534,0.000000,1.499357,3.480902,0.068906,10.996511
0.000000,0.000000,1.708933,2.606638,0.000000,1.150903,2.985352,0.714876,10.747801
0.000000,0.000000,3.089548,2.579182,0.000000,3.052350,4.322757,0.068712,11.860811
0.000000,0.000000,2.770837,2.561012,0.000000,1.514527,3.265165,0.067142,14.176649
0.000000,0.000000,2.671630,2.454286,0.000000,1.168174,2.960008,0.072545,11.389611
0.000000,0.000000,1.625232,2.633843,0.000000,1.046911,2.576780,0.846990,9.949252
0.000000,0.000000,1.852126,3.141662,0.000000,4.642902,3.386586,0.064176,10.893204
0.000000,0.000000,1.726801,3.058184,0.000000,1.223591,2.447335,0.061330,14.213180
0.000000,0.000000,1.596160,3.452911,0.000000,0.913855,2.080247,0.072166,9.904711
0.000000,0.000000,1.927498,2.554018,0.000000,1.223487,1.750816,0.686074,8.754573
0.000000,0.000000,2.119672,2.512416,0.000000,2.326383,3.103993,0.053957,9.390667
0.000000,0.000000,1.702860,3.015323,0.000000,0.996963,1.883556,0.052790,11.349204
0.000000,0.000000,1.430938,2.367578,0.000000,0.852022,2.061346,0.054607,7.725577
0.000000,0.000000,2.860923,2.380598,0.000000,0.802365,1.837690,0.618493,9.254864
0.000000,0.000000,1.969896,4.213948,0.000000,2.422481,2.681537,0.051770,10.394331
0.000000,0.000000,1.486518,2.250972,0.000000,1.645006,2.280474,0.051985,10.019291
0.000000,0.000000,1.621084,2.277331,0.000000,1.452418,2.065194,0.052989,8.909153
0.000000,0.000000,1.941444,2.786999,0.000000,1.171453,1.872869,0.052825,9.443628
0.000000,0.000000,1.615029,2.011106,0.000000,0.999164,1.802239,0.056647,7.628518
0.000000,0.000000,3.242913,2.027157,0.000000,2.459323,1.542006,0.563963,9.045840
0.000000,0.000000,1.903972,1.981433,0.000000,2.809165,2.901055,0.047941,9.316882
0.000000,0.000000,1.371978,2.188112,0.000000,1.644009,2.752694,0.050973,10.276255
0.000000,0.000000,1.610745,2.133982,0.000000,1.588053,2.540052,0.053779,9.249578
0.000000,0.000000,1.910341,2.621024,0.000000,1.248472,2.311135,0.050942,9.800274
0.000000,0.000000,1.659910,2.184238,0.000000,1.078275,1.952134,0.051573,8.473362
0.000000,0.000000,3.453952,2.134014,0.000000,2.497602,1.801939,0.523827,9.628138
0.000000,0.000000,1.801330,2.189489,0.000000,2.756525,3.229614,0.053462,9.756599
0.000000,0.000000,1.690396,2.302698,0.000000,1.532379,2.516077,0.051772,11.080281
0.000000,0.000000,1.722989,2.186804,0.000000,1.436069,2.303589,0.055381,9.114465
0.000000,0.000000,2.506180,2.398672,0.000000,1.149142,1.941573,0.474345,9.876673
0.000000,0.000000,1.660730,2.123469,0.000000,2.315891,2.983088,0.053646,8.388649
0.000000,0.000000,1.939522,2.261557,0.000000,1.516031,2.679316,0.055694,10.709558
0.000000,0.000000,3.263117,2.191281,0.000000,1.335360,2.442664,0.052561,10.790539
0.000000,0.000000,1.509197,2.797391,0.000000,1.101032,2.343554,0.580202,9.219220
0.000000,0.000000,1.551811,2.363913,0.000000,3.125094,3.475903,0.065211,8.952820
0.000000,0.000000,1.665151,2.317674,0.000000,1.927738,3.300844,0.062124,11.905547
0.000000,0.000000,1.618301,2.214900,0.000000,1.591792,3.024750,0.547295,10.351055
0.000000,0.000000,1.797886,2.224698,0.000000,2.290773,3.848778,0.062999,10.307817
0.000000,0.000000,1.537106,2.157501,0.000000,1.897788,3.289688,0.068678,11.134835
0.000000,0.000000,1.576086,2.024868,0.000000,2.226801,3.037260,0.463815,10.059657
0.000000,0.000000,3.395984,3.053749,0.000000,2.347725,3.717516,0.055916,13.400067
0.000000,0.000000,2.110314,2.674746,0.000000,1.758492,3.418199,0.055644,12.104151
